State,Year,Fuel_Type,Energy_Unit
New South Wales,2008-09,Coal,800.912
New South Wales,2008-09,Gas,131.649
New South Wales,2008-09,Oil,587.462
New South Wales,2008-09,Renewables,54.708
New South Wales,2009-10,Coal,771.822
New South Wales,2009-10,Gas,148.728
New South Wales,2009-10,Oil,638.865
New South Wales,2009-10,Renewables,63.757
New South Wales,2010-11,Coal,732.238
New South Wales,2010-11,Gas,146.544
New South Wales,2010-11,Oil,684.98
New South Wales,2010-11,Renewables,68.593
New South Wales,2011-12,Coal,692.719
New South Wales,2011-12,Gas,142.148
New South Wales,2011-12,Oil,687.369
New South Wales,2011-12,Renewables,71.058
New South Wales,2012-13,Coal,642.979
New South Wales,2012-13,Gas,157.355
New South Wales,2012-13,Oil,677.412
New South Wales,2012-13,Renewables,70.889
New South Wales,2013-14,Coal,603.522
New South Wales,2013-14,Gas,166.986
New South Wales,2013-14,Oil,666.561
New South Wales,2013-14,Renewables,72.762
New South Wales,2014-15,Coal,587.811
New South Wales,2014-15,Gas,163.48
New South Wales,2014-15,Oil,621.438
New South Wales,2014-15,Renewables,70.998
New South Wales,2015-16,Coal,620.928
New South Wales,2015-16,Gas,164.803
New South Wales,2015-16,Oil,633.633
New South Wales,2015-16,Renewables,82.431
New South Wales,2016-17,Coal,625.937
New South Wales,2016-17,Gas,143.64
New South Wales,2016-17,Oil,652.595
New South Wales,2016-17,Renewables,84.453
New South Wales,2017-18,Coal,636.711
New South Wales,2017-18,Gas,144.058
New South Wales,2017-18,Oil,672.427
New South Wales,2017-18,Renewables,86.6
New South Wales,2018-19,Coal,640.327
New South Wales,2018-19,Gas,139.224
New South Wales,2018-19,Oil,665.034
New South Wales,2018-19,Renewables,90.366
New South Wales,2019-20,Coal,606.644
New South Wales,2019-20,Gas,141.888
New South Wales,2019-20,Oil,611.402
New South Wales,2019-20,Renewables,95.63
New South Wales,2020-21,Coal,579.756
New South Wales,2020-21,Gas,135.833
New South Wales,2020-21,Oil,556.032
New South Wales,2020-21,Renewables,110.572
New South Wales,2021-22,Coal,534.616
New South Wales,2021-22,Gas,145.271
New South Wales,2021-22,Oil,547.492
New South Wales,2021-22,Renewables,125.055
New South Wales,2022-23,Coal,525.444
New South Wales,2022-23,Gas,134.318
New South Wales,2022-23,Oil,619.186
New South Wales,2022-23,Renewables,138.761
Victoria,2008-09,Coal,695.335
Victoria,2008-09,Gas,273.499
Victoria,2008-09,Oil,432.9
Victoria,2008-09,Renewables,33.595
Victoria,2009-10,Coal,688.721
Victoria,2009-10,Gas,263.452
Victoria,2009-10,Oil,448.436
Victoria,2009-10,Renewables,35.963
Victoria,2010-11,Coal,681.172
Victoria,2010-11,Gas,258.585
Victoria,2010-11,Oil,488.779
Victoria,2010-11,Renewables,44.662
Victoria,2011-12,Coal,705.717
Victoria,2011-12,Gas,263.602
Victoria,2011-12,Oil,469.251
Victoria,2011-12,Renewables,40.988
Victoria,2012-13,Coal,622.004
Victoria,2012-13,Gas,276.166
Victoria,2012-13,Oil,488.295
Victoria,2012-13,Renewables,55.457
Victoria,2013-14,Coal,605.605
Victoria,2013-14,Gas,252.831
Victoria,2013-14,Oil,495.532
Victoria,2013-14,Renewables,57.159
Victoria,2014-15,Coal,641.152
Victoria,2014-15,Gas,257.655
Victoria,2014-15,Oil,464.521
Victoria,2014-15,Renewables,59.221
Victoria,2015-16,Coal,617.413
Victoria,2015-16,Gas,253.883
Victoria,2015-16,Oil,506.952
Victoria,2015-16,Renewables,62.325
Victoria,2016-17,Coal,577.323
Victoria,2016-17,Gas,258.676
Victoria,2016-17,Oil,512.388
Victoria,2016-17,Renewables,65.626
Victoria,2017-18,Coal,467.386
Victoria,2017-18,Gas,263.553
Victoria,2017-18,Oil,517.907
Victoria,2017-18,Renewables,66.068
Victoria,2018-19,Coal,444.1
Victoria,2018-19,Gas,255.891
Victoria,2018-19,Oil,507.856
Victoria,2018-19,Renewables,72.017
Victoria,2019-20,Coal,423.205
Victoria,2019-20,Gas,256.517
Victoria,2019-20,Oil,453.004
Victoria,2019-20,Renewables,77.397
Victoria,2020-21,Coal,427.708
Victoria,2020-21,Gas,236.287
Victoria,2020-21,Oil,384.921
Victoria,2020-21,Renewables,89.349
Victoria,2021-22,Coal,410.709
Victoria,2021-22,Gas,237.504
Victoria,2021-22,Oil,412.363
Victoria,2021-22,Renewables,104.796
Victoria,2022-23,Coal,398.198
Victoria,2022-23,Gas,215.167
Victoria,2022-23,Oil,465.61
Victoria,2022-23,Renewables,111.765
Queensland,2008-09,Coal,629.212
Queensland,2008-09,Gas,187.938
Queensland,2008-09,Oil,469.531
Queensland,2008-09,Renewables,77.402
Queensland,2009-10,Coal,547.51
Queensland,2009-10,Gas,195.803
Queensland,2009-10,Oil,466.869
Queensland,2009-10,Renewables,107.377
Queensland,2010-11,Coal,497.209
Queensland,2010-11,Gas,190.552
Queensland,2010-11,Oil,483.317
Queensland,2010-11,Renewables,98.739
Queensland,2011-12,Coal,481.546
Queensland,2011-12,Gas,246.145
Queensland,2011-12,Oil,504.806
Queensland,2011-12,Renewables,99.737
Queensland,2012-13,Coal,473.41
Queensland,2012-13,Gas,239.824
Queensland,2012-13,Oil,514.669
Queensland,2012-13,Renewables,114.237
Queensland,2013-14,Coal,442.851
Queensland,2013-14,Gas,257.996
Queensland,2013-14,Oil,531.185
Queensland,2013-14,Renewables,109.563
Queensland,2014-15,Coal,485.277
Queensland,2014-15,Gas,294.916
Queensland,2014-15,Oil,555.492
Queensland,2014-15,Renewables,122.537
Queensland,2015-16,Coal,517.791
Queensland,2015-16,Gas,296.399
Queensland,2015-16,Oil,542.481
Queensland,2015-16,Renewables,120.39
Queensland,2016-17,Coal,544.167
Queensland,2016-17,Gas,309.582
Queensland,2016-17,Oil,563.642
Queensland,2016-17,Renewables,129.588
Queensland,2017-18,Coal,570.59
