Category,Year,Emmisions
2030 Target,2000,
2030 Target,2001,
2030 Target,2002,
2030 Target,2003,
2030 Target,2004,
2030 Target,2005,
2030 Target,2006,
2030 Target,2007,
2030 Target,2008,
2030 Target,2009,
2030 Target,2010,
2030 Target,2011,
2030 Target,2012,
2030 Target,2013,
2030 Target,2014,
2030 Target,2015,
2030 Target,2016,
2030 Target,2017,
2030 Target,2018,
2030 Target,2019,
2030 Target,2020,
2030 Target,2021,
2030 Target,2022,
2030 Target,2023,
2030 Target,2024,
2030 Target,2025,
2030 Target,2026,
2030 Target,2027,
2030 Target,2028,
2030 Target,2029,
2030 Target,2030,351.29
2030 Target,2031,
2030 Target,2032,
2030 Target,2033,
2030 Target,2034,
2030 Target,2035,
2030 Target,2036,
2030 Target,2037,
2030 Target,2038,
2030 Target,2039,
2030 Target,2040,
2030 Target,2041,
2030 Target,2042,
2030 Target,2043,
2030 Target,2044,
2030 Target,2045,
2030 Target,2046,
2030 Target,2047,
2030 Target,2048,
2030 Target,2049,
2030 Target,2050,
2050 Target,2000,
2050 Target,2001,
2050 Target,2002,
2050 Target,2003,
2050 Target,2004,
2050 Target,2005,
2050 Target,2006,
2050 Target,2007,
2050 Target,2008,
2050 Target,2009,
2050 Target,2010,
2050 Target,2011,
2050 Target,2012,
2050 Target,2013,
2050 Target,2014,
2050 Target,2015,
2050 Target,2016,
2050 Target,2017,
2050 Target,2018,
2050 Target,2019,
2050 Target,2020,
2050 Target,2021,
2050 Target,2022,
2050 Target,2023,
2050 Target,2024,
2050 Target,2025,
2050 Target,2026,
2050 Target,2027,
2050 Target,2028,
2050 Target,2029,
2050 Target,2030,
2050 Target,2031,
2050 Target,2032,
2050 Target,2033,
2050 Target,2034,
2050 Target,2035,
2050 Target,2036,
2050 Target,2037,
2050 Target,2038,
2050 Target,2039,
2050 Target,2040,
2050 Target,2041,
2050 Target,2042,
2050 Target,2043,
2050 Target,2044,
2050 Target,2045,
2050 Target,2046,
2050 Target,2047,
2050 Target,2048,
2050 Target,2049,
2050 Target,2050,0
Baseline,2000,
Baseline,2001,
Baseline,2002,
Baseline,2003,
Baseline,2004,
Baseline,2005,
Baseline,2006,
Baseline,2007,
Baseline,2008,
Baseline,2009,
Baseline,2010,
Baseline,2011,
Baseline,2012,
Baseline,2013,
Baseline,2014,
Baseline,2015,
Baseline,2016,
Baseline,2017,
Baseline,2018,
Baseline,2019,
