State,Primary_Source,Energy_Amount
New South Wales,Coal,525.44
New South Wales,Oil,619.19
New South Wales,Gas,134.32
New South Wales,Renewables,138.76
Victoria,Coal,398.20
Victoria,Oil,465.61
Victoria,Gas,215.17
Victoria,Renewables,111.77
Queensland,Coal,471.09
Queensland,Oil,532.57
Queensland,Gas,290.53
Queensland,Renewables,162.23
Western Australia,Coal,99.45
Western Australia,Oil,447.13
Western Australia,Gas,704.83
Western Australia,Renewables,42.22
South Australia,Coal,22.00
South Australia,Oil,144.93
South Australia,Gas,74.76
South Australia,Renewables,52.96
Tasmania,Coal,8.85
Tasmania,Oil,39.50
Tasmania,Gas,7.24
Tasmania,Renewables,43.88
Northern Territory,Coal,0.00
Northern Territory,Oil,36.57
Northern Territory,Gas,91.28
Northern Territory,Renewables,1.74
