State,Year,Energy_Amount
New South Wales,2008-09,1593.54
New South Wales,2009-10,1645.29
New South Wales,2010-11,1668.03
New South Wales,2011-12,1621.31
New South Wales,2012-13,1568.43
New South Wales,2013-14,1526.54
New South Wales,2014-15,1478.84
New South Wales,2015-16,1524.26
New South Wales,2016-17,1533.05
New South Wales,2017-18,1564.67
New South Wales,2018-19,1555.63
New South Wales,2019-20,1477.82
New South Wales,2020-21,1401.64
New South Wales,2021-22,1374.39
New South Wales,2022-23,1439.19
Victoria,2008-09,1421.70
Victoria,2009-10,1426.70
Victoria,2010-11,1448.60
Victoria,2011-12,1457.30
Victoria,2012-13,1425.30
Victoria,2013-14,1394.80
Victoria,2014-15,1392.30
Victoria,2015-16,1414.80
Victoria,2016-17,1384.80
Victoria,2017-18,1310.00
Victoria,2018-19,1276.30
Victoria,2019-20,1207.70
Victoria,2020-21,1128.80
Victoria,2021-22,1148.10
Victoria,2022-23,1172.60
Queensland,2008-09,1345.70
Queensland,2009-10,1294.40
Queensland,2010-11,1249.60
Queensland,2011-12,1314.80
Queensland,2012-13,1334.80
Queensland,2013-14,1338.90
Queensland,2014-15,1436.10
Queensland,2015-16,1464.60
Queensland,2016-17,1531.90
Queensland,2017-18,1548.40
Queensland,2018-19,1529.50
Queensland,2019-20,1486.30
Queensland,2020-21,1442.60
Queensland,2021-22,1428.30
Queensland,2022-23,1441.70
Western Australia,2008-09,917.20
Western Australia,2009-10,905.70
Western Australia,2010-11,980.30
Western Australia,2011-12,982.20
Western Australia,2012-13,1019.50
Western Australia,2013-14,1066.60
Western Australia,2014-15,1045.30
Western Australia,2015-16,1123.90
Western Australia,2016-17,1176.80
Western Australia,2017-18,1209.70
Western Australia,2018-19,1261.20
Western Australia,2019-20,1264.90
Western Australia,2020-21,1238.90
Western Australia,2021-22,1257.90
Western Australia,2022-23,1293.60
South Australia,2008-09,357.20
South Australia,2009-10,343.70
South Australia,2010-11,342.80
South Australia,2011-12,307.70
South Australia,2012-13,356.30
South Australia,2013-14,337.10
South Australia,2014-15,356.90
South Australia,2015-16,316.40
South Australia,2016-17,287.40
South Australia,2017-18,334.70
South Australia,2018-19,324.50
South Australia,2019-20,317.70
South Australia,2020-21,308.70
South Australia,2021-22,301.30
South Australia,2022-23,300.00
Tasmania,2008-09,113.80
Tasmania,2009-10,113.70
Tasmania,2010-11,113.80
Tasmania,2011-12,107.00
Tasmania,2012-13,112.30
Tasmania,2013-14,108.00
Tasmania,2014-15,104.90
Tasmania,2015-16,107.10
Tasmania,2016-17,107.50
Tasmania,2017-18,110.50
Tasmania,2018-19,108.20
Tasmania,2019-20,100.10
Tasmania,2020-21,103.10
Tasmania,2021-22,105.40
Tasmania,2022-23,105.50
Northern Territory,2008-09,95.00
Northern Territory,2009-10,94.20
Northern Territory,2010-11,99.80
Northern Territory,2011-12,98.20
Northern Territory,2012-13,100.20
Northern Territory,2013-14,99.10
Northern Territory,2014-15,84.00
Northern Territory,2015-16,83.90
Northern Territory,2016-17,83.30
Northern Territory,2017-18,90.20
Northern Territory,2018-19,133.00
Northern Territory,2019-20,146.50
Northern Territory,2020-21,145.30
Northern Territory,2021-22,149.80
Northern Territory,2022-23,129.60
