State,Year,Primary_Fuel,Energy_Amount
New South Wales,2008-09,Coal,800.9
New South Wales,2008-09,Oil,587.5
New South Wales,2008-09,Gas,131.6
New South Wales,2008-09,Renewables,54.7
New South Wales,2009-10,Coal,771.8
New South Wales,2009-10,Oil,638.9
New South Wales,2009-10,Gas,148.7
New South Wales,2009-10,Renewables,63.8
New South Wales,2010-11,Coal,732.2
New South Wales,2010-11,Oil,685
New South Wales,2010-11,Gas,146.5
New South Wales,2010-11,Renewables,68.6
New South Wales,2011-12,Coal,692.7
New South Wales,2011-12,Oil,687.4
New South Wales,2011-12,Gas,142.1
New South Wales,2011-12,Renewables,71.1
New South Wales,2012-13,Coal,643
New South Wales,2012-13,Oil,677.4
New South Wales,2012-13,Gas,157.4
New South Wales,2012-13,Renewables,70.9
New South Wales,2013-14,Coal,603.5
New South Wales,2013-14,Oil,666.6
New South Wales,2013-14,Gas,167
New South Wales,2013-14,Renewables,72.8
New South Wales,2014-15,Coal,587.8
New South Wales,2014-15,Oil,621.4
New South Wales,2014-15,Gas,163.5
New South Wales,2014-15,Renewables,71
New South Wales,2015-16,Coal,620.9
New South Wales,2015-16,Oil,633.6
New South Wales,2015-16,Gas,164.8
New South Wales,2015-16,Renewables,82.4
New South Wales,2016-17,Coal,625.9
New South Wales,2016-17,Oil,652.6
New South Wales,2016-17,Gas,143.6
New South Wales,2016-17,Renewables,84.5
New South Wales,2017-18,Coal,636.7
New South Wales,2017-18,Oil,672.4
New South Wales,2017-18,Gas,144.1
New South Wales,2017-18,Renewables,86.6
New South Wales,2018-19,Coal,640.3
New South Wales,2018-19,Oil,665
New South Wales,2018-19,Gas,139.2
New South Wales,2018-19,Renewables,90.4
New South Wales,2019-20,Coal,606.6
New South Wales,2019-20,Oil,611.4
New South Wales,2019-20,Gas,141.9
New South Wales,2019-20,Renewables,95.6
New South Wales,2020-21,Coal,579.8
New South Wales,2020-21,Oil,556
New South Wales,2020-21,Gas,135.8
New South Wales,2020-21,Renewables,110.6
New South Wales,2021-22,Coal,534.6
New South Wales,2021-22,Oil,547.5
New South Wales,2021-22,Gas,145.3
New South Wales,2021-22,Renewables,125.1
New South Wales,2022-23,Coal,525.4
New South Wales,2022-23,Oil,619.2
New South Wales,2022-23,Gas,134.3
New South Wales,2022-23,Renewables,138.8
Victoria,2008-09,Coal,695.3
Victoria,2008-09,Oil,432.9
Victoria,2008-09,Gas,273.5
Victoria,2008-09,Renewables,33.6
Victoria,2009-10,Coal,688.7
Victoria,2009-10,Oil,448.4
Victoria,2009-10,Gas,263.5
Victoria,2009-10,Renewables,36
Victoria,2010-11,Coal,681.2
Victoria,2010-11,Oil,488.8
Victoria,2010-11,Gas,258.6
Victoria,2010-11,Renewables,44.7
Victoria,2011-12,Coal,705.7
Victoria,2011-12,Oil,469.3
Victoria,2011-12,Gas,263.6
Victoria,2011-12,Renewables,41
Victoria,2012-13,Coal,622
Victoria,2012-13,Oil,488.3
Victoria,2012-13,Gas,276.2
Victoria,2012-13,Renewables,55.5
Victoria,2013-14,Coal,605.6
Victoria,2013-14,Oil,495.5
Victoria,2013-14,Gas,252.8
Victoria,2013-14,Renewables,57.2
Victoria,2014-15,Coal,641.2
Victoria,2014-15,Oil,464.5
Victoria,2014-15,Gas,257.7
Victoria,2014-15,Renewables,59.2
Victoria,2015-16,Coal,617.4
Victoria,2015-16,Oil,507
Victoria,2015-16,Gas,253.9
Victoria,2015-16,Renewables,62.3
Victoria,2016-17,Coal,577.3
Victoria,2016-17,Oil,512.4
Victoria,2016-17,Gas,258.7
Victoria,2016-17,Renewables,65.6
Victoria,2017-18,Coal,467.4
Victoria,2017-18,Oil,517.9
Victoria,2017-18,Gas,263.6
Victoria,2017-18,Renewables,66.1
Victoria,2018-19,Coal,444.1
Victoria,2018-19,Oil,507.9
Victoria,2018-19,Gas,255.9
Victoria,2018-19,Renewables,72
Victoria,2019-20,Coal,423.2
Victoria,2019-20,Oil,453
Victoria,2019-20,Gas,256.5
Victoria,2019-20,Renewables,77.4
Victoria,2020-21,Coal,427.7
Victoria,2020-21,Oil,384.9
Victoria,2020-21,Gas,236.3
Victoria,2020-21,Renewables,89.3
Victoria,2021-22,Coal,410.7
Victoria,2021-22,Oil,412.4
Victoria,2021-22,Gas,237.5
Victoria,2021-22,Renewables,104.8
Victoria,2022-23,Coal,398.2
Victoria,2022-23,Oil,465.6
Victoria,2022-23,Gas,215.2
Victoria,2022-23,Renewables,111.8
Queensland,2008-09,Coal,629.2
Queensland,2008-09,Oil,469.5
Queensland,2008-09,Gas,187.9
Queensland,2008-09,Renewables,77.4
Queensland,2009-10,Coal,547.5
Queensland,2009-10,Oil,466.9
Queensland,2009-10,Gas,195.8
Queensland,2009-10,Renewables,107.4
Queensland,2010-11,Coal,497.2
Queensland,2010-11,Oil,483.3
Queensland,2010-11,Gas,190.6
Queensland,2010-11,Renewables,98.7
Queensland,2011-12,Coal,481.5
Queensland,2011-12,Oil,504.8
Queensland,2011-12,Gas,246.1
Queensland,2011-12,Renewables,99.7
Queensland,2012-13,Coal,473.4
