State,Year,Primary_Fuel,Production_Amount
New South Wales,2000-01,Black coal,110240.00
New South Wales,2000-01,Brown coal,0.00
New South Wales,2000-01,Crude oil and NGL,0.00
New South Wales,2000-01,Naturally occurring LPG,0.00
New South Wales,2000-01,Natural gas a,222.00
New South Wales,2000-01,Ethane,0.00
New South Wales,2000-01,Liquid/gas biofuels,0.00
New South Wales,2000-01,Wood,1969.00
New South Wales,2000-01,Bagasse,0.00
New South Wales,2000-01,Hydro-electricity,5157.00
New South Wales,2000-01,Wind b,0.00
New South Wales,2000-01,Solar PV,0.00
New South Wales,2000-01,Solar hotwater,0.60
New South Wales,2001-02,Black coal,114329.00
New South Wales,2001-02,Brown coal,0.00
New South Wales,2001-02,Crude oil and NGL,0.00
New South Wales,2001-02,Naturally occurring LPG,0.00
New South Wales,2001-02,Natural gas a,230.00
New South Wales,2001-02,Ethane,0.00
New South Wales,2001-02,Liquid/gas biofuels,0.00
New South Wales,2001-02,Wood,1574.00
New South Wales,2001-02,Bagasse,0.00
New South Wales,2001-02,Hydro-electricity,4274.00
New South Wales,2001-02,Wind b,0.00
New South Wales,2001-02,Solar PV,0.00
New South Wales,2001-02,Solar hotwater,0.70
New South Wales,2002-03,Black coal,111532.80
New South Wales,2002-03,Brown coal,0.00
New South Wales,2002-03,Crude oil and NGL,0.00
New South Wales,2002-03,Naturally occurring LPG,0.00
New South Wales,2002-03,Natural gas a,211.00
New South Wales,2002-03,Ethane,0.00
New South Wales,2002-03,Liquid/gas biofuels,5.00
New South Wales,2002-03,Wood,1914.50
New South Wales,2002-03,Bagasse,657.90
New South Wales,2002-03,Hydro-electricity,4868.00
New South Wales,2002-03,Wind b,0.00
New South Wales,2002-03,Solar PV,0.00
New South Wales,2002-03,Solar hotwater,0.70
New South Wales,2003-04,Black coal,114239.30
New South Wales,2003-04,Brown coal,0.00
New South Wales,2003-04,Crude oil and NGL,0.00
New South Wales,2003-04,Naturally occurring LPG,0.00
New South Wales,2003-04,Natural gas a,213.00
New South Wales,2003-04,Ethane,0.00
New South Wales,2003-04,Liquid/gas biofuels,4.20
New South Wales,2003-04,Wood,1862.90
New South Wales,2003-04,Bagasse,650.30
New South Wales,2003-04,Hydro-electricity,4811.00
New South Wales,2003-04,Wind b,0.00
New South Wales,2003-04,Solar PV,0.00
New South Wales,2003-04,Solar hotwater,0.60
New South Wales,2004-05,Black coal,119834.80
New South Wales,2004-05,Brown coal,0.00
New South Wales,2004-05,Crude oil and NGL,0.00
New South Wales,2004-05,Naturally occurring LPG,0.00
New South Wales,2004-05,Natural gas a,210.00
New South Wales,2004-05,Ethane,0.00
New South Wales,2004-05,Liquid/gas biofuels,4.70
New South Wales,2004-05,Wood,1791.20
New South Wales,2004-05,Bagasse,665.40
New South Wales,2004-05,Hydro-electricity,4434.00
New South Wales,2004-05,Wind b,0.00
New South Wales,2004-05,Solar PV,0.00
New South Wales,2004-05,Solar hotwater,0.60
New South Wales,2005-06,Black coal,124611.00
New South Wales,2005-06,Brown coal,0.00
New South Wales,2005-06,Crude oil and NGL,0.00
New South Wales,2005-06,Naturally occurring LPG,0.00
New South Wales,2005-06,Natural gas a,260.00
New South Wales,2005-06,Ethane,0.00
New South Wales,2005-06,Liquid/gas biofuels,5.40
New South Wales,2005-06,Wood,1749.90
New South Wales,2005-06,Bagasse,686.30
New South Wales,2005-06,Hydro-electricity,5621.00
New South Wales,2005-06,Wind b,0.00
New South Wales,2005-06,Solar PV,0.00
New South Wales,2005-06,Solar hotwater,0.60
New South Wales,2006-07,Black coal,130884.60
New South Wales,2006-07,Brown coal,0.00
New South Wales,2006-07,Crude oil and NGL,0.00
New South Wales,2006-07,Naturally occurring LPG,0.00
New South Wales,2006-07,Natural gas a,285.00
New South Wales,2006-07,Ethane,0.00
New South Wales,2006-07,Liquid/gas biofuels,5.80
New South Wales,2006-07,Wood,1732.60
New South Wales,2006-07,Bagasse,772.10
New South Wales,2006-07,Hydro-electricity,4639.00
New South Wales,2006-07,Wind b,0.00
New South Wales,2006-07,Solar PV,0.00
New South Wales,2006-07,Solar hotwater,1.50
New South Wales,2007-08,Black coal,134977.60
New South Wales,2007-08,Brown coal,0.00
New South Wales,2007-08,Crude oil and NGL,0.00
New South Wales,2007-08,Naturally occurring LPG,0.00
New South Wales,2007-08,Natural gas a,140.00
New South Wales,2007-08,Ethane,0.00
New South Wales,2007-08,Liquid/gas biofuels,7.10
New South Wales,2007-08,Wood,1807.30
New South Wales,2007-08,Bagasse,653.10
New South Wales,2007-08,Hydro-electricity,2642.00
New South Wales,2007-08,Wind b,0.00
New South Wales,2007-08,Solar PV,0.00
New South Wales,2007-08,Solar hotwater,1.70
New South Wales,2008-09,Black coal,137798.10
New South Wales,2008-09,Brown coal,0.00
New South Wales,2008-09,Crude oil and NGL,0.00
New South Wales,2008-09,Naturally occurring LPG,0.00
New South Wales,2008-09,Natural gas a,125.00
New South Wales,2008-09,Ethane,0.00
New South Wales,2008-09,Liquid/gas biofuels,8.60
New South Wales,2008-09,Wood,1907.60
New South Wales,2008-09,Bagasse,735.60
New South Wales,2008-09,Hydro-electricity,1497.00
New South Wales,2008-09,Wind b,41.30
New South Wales,2008-09,Solar PV,36.30
New South Wales,2008-09,Solar hotwater,2.50
New South Wales,2009-10,Black coal,147299.00
New South Wales,2009-10,Brown coal,0.00
New South Wales,2009-10,Crude oil and NGL,0.00
New South Wales,2009-10,Naturally occurring LPG,0.00
New South Wales,2009-10,Natural gas a,169.40
New South Wales,2009-10,Ethane,0.00
New South Wales,2009-10,Liquid/gas biofuels,10.70
New South Wales,2009-10,Wood,2037.70
New South Wales,2009-10,Bagasse,542.00
New South Wales,2009-10,Hydro-electricity,2689.50
New South Wales,2009-10,Wind b,432.50
New South Wales,2009-10,Solar PV,119.20
New South Wales,2009-10,Solar hotwater,3.10
New South Wales,2010-11,Black coal,156951.30
New South Wales,2010-11,Brown coal,0.00
New South Wales,2010-11,Crude oil and NGL,0.00
New South Wales,2010-11,Naturally occurring LPG,0.00
New South Wales,2010-11,Natural gas a,148.00
New South Wales,2010-11,Ethane,0.00
New South Wales,2010-11,Liquid/gas biofuels,13.10
New South Wales,2010-11,Wood,2106.10
New South Wales,2010-11,Bagasse,541.20
New South Wales,2010-11,Hydro-electricity,2474.90
New South Wales,2010-11,Wind b,530.10
New South Wales,2010-11,Solar PV,526.30
New South Wales,2010-11,Solar hotwater,3.50
New South Wales,2011-12,Black coal,167170.90
New South Wales,2011-12,Brown coal,0.00
New South Wales,2011-12,Crude oil and NGL,0.00
New South Wales,2011-12,Naturally occurring LPG,0.00
New South Wales,2011-12,Natural gas a,147.90
New South Wales,2011-12,Ethane,0.00
New South Wales,2011-12,Liquid/gas biofuels,15.00
New South Wales,2011-12,Wood,2092.40
New South Wales,2011-12,Bagasse,512.50
New South Wales,2011-12,Hydro-electricity,2446.90
New South Wales,2011-12,Wind b,697.60
New South Wales,2011-12,Solar PV,657.70
New South Wales,2011-12,Solar hotwater,3.60
New South Wales,2012-13,Black coal,185552.50
New South Wales,2012-13,Brown coal,0.00
New South Wales,2012-13,Crude oil and NGL,0.00
New South Wales,2012-13,Naturally occurring LPG,0.00
New South Wales,2012-13,Natural gas a,140.00
New South Wales,2012-13,Ethane,0.00
New South Wales,2012-13,Liquid/gas biofuels,14.30
New South Wales,2012-13,Wood,1986.00
New South Wales,2012-13,Bagasse,287.00
New South Wales,2012-13,Hydro-electricity,3298.10
New South Wales,2012-13,Wind b,832.60
New South Wales,2012-13,Solar PV,857.60
New South Wales,2012-13,Solar hotwater,3.70
New South Wales,2013-14,Black coal,196634.70
New South Wales,2013-14,Brown coal,0.00
New South Wales,2013-14,Crude oil and NGL,0.00
New South Wales,2013-14,Naturally occurring LPG,0.00
New South Wales,2013-14,Natural gas a,128.00
New South Wales,2013-14,Ethane,0.00
New South Wales,2013-14,Liquid/gas biofuels,14.50
New South Wales,2013-14,Wood,2077.40
New South Wales,2013-14,Bagasse,445.20
New South Wales,2013-14,Hydro-electricity,2721.10
New South Wales,2013-14,Wind b,899.20
New South Wales,2013-14,Solar PV,975.50
New South Wales,2013-14,Solar hotwater,3.70
New South Wales,2014-15,Black coal,196413.00
New South Wales,2014-15,Brown coal,0.00
New South Wales,2014-15,Crude oil and NGL,0.00
New South Wales,2014-15,Naturally occurring LPG,0.00
New South Wales,2014-15,Natural gas a,113.00
New South Wales,2014-15,Ethane,0.00
New South Wales,2014-15,Liquid/gas biofuels,13.50
New South Wales,2014-15,Wood,2041.20
New South Wales,2014-15,Bagasse,472.90
New South Wales,2014-15,Hydro-electricity,1771.00
New South Wales,2014-15,Wind b,1376.00
New South Wales,2014-15,Solar PV,1271.40
New South Wales,2014-15,Solar hotwater,4.00
New South Wales,2015-16,Black coal,191330.70
New South Wales,2015-16,Brown coal,0.00
New South Wales,2015-16,Crude oil and NGL,0.00
New South Wales,2015-16,Naturally occurring LPG,0.00
New South Wales,2015-16,Natural gas a,142.20
New South Wales,2015-16,Ethane,0.00
New South Wales,2015-16,Liquid/gas biofuels,10.40
New South Wales,2015-16,Wood,2275.80
New South Wales,2015-16,Bagasse,644.30
New South Wales,2015-16,Hydro-electricity,3170.20
New South Wales,2015-16,Wind b,1898.80
New South Wales,2015-16,Solar PV,1861.50
New South Wales,2015-16,Solar hotwater,4.00
New South Wales,2016-17,Black coal,198160.60
New South Wales,2016-17,Brown coal,0.00
New South Wales,2016-17,Crude oil and NGL,0.00
New South Wales,2016-17,Naturally occurring LPG,0.00
New South Wales,2016-17,Natural gas a,144.70
New South Wales,2016-17,Ethane,0.00
New South Wales,2016-17,Liquid/gas biofuels,10.10
New South Wales,2016-17,Wood,2307.50
New South Wales,2016-17,Bagasse,627.90
New South Wales,2016-17,Hydro-electricity,3290.60
New South Wales,2016-17,Wind b,1872.00
New South Wales,2016-17,Solar PV,2274.40
New South Wales,2016-17,Solar hotwater,4.20
New South Wales,2017-18,Black coal,194276.00
New South Wales,2017-18,Brown coal,0.00
New South Wales,2017-18,Crude oil and NGL,0.00
New South Wales,2017-18,Naturally occurring LPG,0.00
New South Wales,2017-18,Natural gas a,150.90
New South Wales,2017-18,Ethane,0.00
New South Wales,2017-18,Liquid/gas biofuels,10.70
New South Wales,2017-18,Wood,2217.20
New South Wales,2017-18,Bagasse,668.10
New South Wales,2017-18,Hydro-electricity,2915.50
New South Wales,2017-18,Wind b,2431.60
New South Wales,2017-18,Solar PV,2795.80
New South Wales,2017-18,Solar hotwater,4.30
New South Wales,2018-19,Black coal,196610.40
New South Wales,2018-19,Brown coal,0.00
New South Wales,2018-19,Crude oil and NGL,0.00
New South Wales,2018-19,Naturally occurring LPG,0.00
New South Wales,2018-19,Natural gas a,125.60
New South Wales,2018-19,Ethane,0.00
New South Wales,2018-19,Liquid/gas biofuels,10.30
New South Wales,2018-19,Wood,2135.60
New South Wales,2018-19,Bagasse,542.10
New South Wales,2018-19,Hydro-electricity,2160.30
New South Wales,2018-19,Wind b,3739.70
New South Wales,2018-19,Solar PV,4065.30
New South Wales,2018-19,Solar hotwater,4.40
New South Wales,2019-20,Black coal,199657.30
New South Wales,2019-20,Brown coal,0.00
New South Wales,2019-20,Crude oil and NGL,0.00
New South Wales,2019-20,Naturally occurring LPG,0.00
New South Wales,2019-20,Natural gas a,119.70
New South Wales,2019-20,Ethane,0.00
New South Wales,2019-20,Liquid/gas biofuels,9.20
New South Wales,2019-20,Wood,2043.60
New South Wales,2019-20,Bagasse,508.20
New South Wales,2019-20,Hydro-electricity,2110.10
New South Wales,2019-20,Wind b,4574.30
New South Wales,2019-20,Solar PV,5501.90
New South Wales,2019-20,Solar hotwater,4.50
New South Wales,2020-21,Black coal,186192.00
New South Wales,2020-21,Brown coal,0.00
New South Wales,2020-21,Crude oil and NGL,0.00
New South Wales,2020-21,Naturally occurring LPG,0.00
New South Wales,2020-21,Natural gas a,115.10
New South Wales,2020-21,Ethane,0.00
New South Wales,2020-21,Liquid/gas biofuels,9.70
New South Wales,2020-21,Wood,2063.20
New South Wales,2020-21,Bagasse,527.60
New South Wales,2020-21,Hydro-electricity,2964.20
New South Wales,2020-21,Wind b,4805.90
New South Wales,2020-21,Solar PV,8260.90
New South Wales,2020-21,Solar hotwater,4.70
New South Wales,2021-22,Black coal,177750.30
New South Wales,2021-22,Brown coal,0.00
New South Wales,2021-22,Crude oil and NGL,0.00
New South Wales,2021-22,Naturally occurring LPG,0.00
New South Wales,2021-22,Natural gas a,112.60
New South Wales,2021-22,Ethane,0.00
New South Wales,2021-22,Liquid/gas biofuels,9.20
New South Wales,2021-22,Wood,2012.70
New South Wales,2021-22,Bagasse,463.10
New South Wales,2021-22,Hydro-electricity,3315.50
New South Wales,2021-22,Wind b,5973.40
New South Wales,2021-22,Solar PV,11215.80
New South Wales,2021-22,Solar hotwater,4.90
New South Wales,2022-23,Black coal,167189.40
New South Wales,2022-23,Brown coal,0.00
New South Wales,2022-23,Crude oil and NGL,0.00
New South Wales,2022-23,Naturally occurring LPG,0.00
New South Wales,2022-23,Natural gas a,77.30
New South Wales,2022-23,Ethane,0.00
New South Wales,2022-23,Liquid/gas biofuels,9.30
New South Wales,2022-23,Wood,2118.20
New South Wales,2022-23,Bagasse,444.10
New South Wales,2022-23,Hydro-electricity,3752.10
New South Wales,2022-23,Wind b,6210.90
New South Wales,2022-23,Solar PV,13624.50
New South Wales,2022-23,Solar hotwater,6.00
Victoria,2000-01,Black coal,0.00
Victoria,2000-01,Brown coal,64958.00
Victoria,2000-01,Crude oil and NGL,9409.00
Victoria,2000-01,Naturally occurring LPG,1725.00
Victoria,2000-01,Natural gas a,6359.00
Victoria,2000-01,Ethane,332.00
Victoria,2000-01,Liquid/gas biofuels,0.00
Victoria,2000-01,Wood,2003.00
Victoria,2000-01,Bagasse,0.00
Victoria,2000-01,Hydro-electricity,625.00
Victoria,2000-01,Wind b,0.00
Victoria,2000-01,Solar PV,0.00
Victoria,2000-01,Solar hotwater,0.20
Victoria,2001-02,Black coal,0.00
Victoria,2001-02,Brown coal,66661.00
Victoria,2001-02,Crude oil and NGL,9085.00
Victoria,2001-02,Naturally occurring LPG,1799.00
Victoria,2001-02,Natural gas a,6533.00
Victoria,2001-02,Ethane,269.00
Victoria,2001-02,Liquid/gas biofuels,0.00
Victoria,2001-02,Wood,1995.00
Victoria,2001-02,Bagasse,0.00
Victoria,2001-02,Hydro-electricity,761.00
Victoria,2001-02,Wind b,0.00
Victoria,2001-02,Solar PV,0.00
Victoria,2001-02,Solar hotwater,0.20
Victoria,2002-03,Black coal,0.00
Victoria,2002-03,Brown coal,66809.00
Victoria,2002-03,Crude oil and NGL,7155.30
Victoria,2002-03,Naturally occurring LPG,1969.60
Victoria,2002-03,Natural gas a,6888.40
Victoria,2002-03,Ethane,162.90
Victoria,2002-03,Liquid/gas biofuels,2.40
Victoria,2002-03,Wood,1892.70
Victoria,2002-03,Bagasse,0.00
Victoria,2002-03,Hydro-electricity,1064.00
Victoria,2002-03,Wind b,0.00
Victoria,2002-03,Solar PV,0.00
Victoria,2002-03,Solar hotwater,0.20
Victoria,2003-04,Black coal,0.00
Victoria,2003-04,Brown coal,66343.00
Victoria,2003-04,Crude oil and NGL,6555.30
Victoria,2003-04,Naturally occurring LPG,1975.70
Victoria,2003-04,Natural gas a,7655.00
Victoria,2003-04,Ethane,172.10
Victoria,2003-04,Liquid/gas biofuels,2.40
