Year,Fuel_Type,Portion
2000-01,Coal ,83.38714005
2000-01,Gas,7.722679306
2000-01,Oil,0.913968879
2000-01,Renewables,7.976211769
2001-02,Coal ,77.05238582
2001-02,Gas,14.11037488
2001-02,Oil,1.087739583
2001-02,Renewables,7.749499711
2002-03,Coal ,77.36499459
2002-03,Gas,13.3325194
2002-03,Oil,0.753875355
2002-03,Renewables,8.548610664
2003-04,Coal ,77.53525285
2003-04,Gas,13.56307963
2003-04,Oil,0.609166047
2003-04,Renewables,8.292501472
2004-05,Coal ,79.38380225
2004-05,Gas,10.43000109
2004-05,Oil,1.244874914
2004-05,Renewables,8.941321741
2005-06,Coal ,79.54134174
2005-06,Gas,9.782473945
2005-06,Oil,1.316330941
2005-06,Renewables,9.35985337
2006-07,Coal ,76.95290174
2006-07,Gas,13.12458921
2006-07,Oil,1.19213676
2006-07,Renewables,8.73037229
2007-08,Coal ,75.77934533
2007-08,Gas,14.37852899
2007-08,Oil,1.669195689
2007-08,Renewables,8.17292999
2008-09,Coal ,75.53019281
2008-09,Gas,15.43808923
2008-09,Oil,1.38879838
2008-09,Renewables,7.642919581
2009-10,Coal ,72.12179909
2009-10,Gas,17.88587949
2009-10,Oil,1.246256832
2009-10,Renewables,8.746064588
2010-11,Coal ,68.66209782
2010-11,Gas,19.53135997
2010-11,Oil,1.23326921
2010-11,Renewables,10.57327299
2011-12,Coal ,68.7845551
2011-12,Gas,19.45568429
2011-12,Oil,1.08250696
2011-12,Renewables,10.67725365
2012-13,Coal ,64.19280014
2012-13,Gas,20.60571521
2012-13,Oil,1.801840708
2012-13,Renewables,13.39964393
2013-14,Coal ,61.45350033
2013-14,Gas,21.84173112
2013-14,Oil,2.012676217
2013-14,Renewables,14.69209234
2014-15,Coal ,62.84293659
2014-15,Gas,20.96625899
2014-15,Oil,2.705506535
2014-15,Renewables,13.48529789
2015-16,Coal ,63.35381947
2015-16,Gas,19.63110648
2015-16,Oil,2.196965061
2015-16,Renewables,14.81810899
2016-17,Coal ,62.72070339
2016-17,Gas,19.55675455
2016-17,Oil,2.043504893
2016-17,Renewables,15.67903717
2017-18,Coal ,60.41257646
2017-18,Gas,20.63988112
2017-18,Oil,1.846681895
2017-18,Renewables,17.10086052
2018-19,Coal ,58.44285334
2018-19,Gas,19.9886567
2018-19,Oil,1.864562932
2018-19,Renewables,19.70392702
2019-20,Coal ,54.87720212
2019-20,Gas,20.82233219
2019-20,Oil,1.700439019
2019-20,Renewables,22.60002667
2020-21,Coal ,52.83716509
2020-21,Gas,18.74678803
2020-21,Oil,1.755529427
2020-21,Renewables,26.66051744
2021-22,Coal ,49.19935742
2021-22,Gas,18.14898457
2021-22,Oil,1.717662531
2021-22,Renewables,30.93399548
2022-23,Coal ,46.50079509
2022-23,Gas,17.80317536
2022-23,Oil,1.772256109
2022-23,Renewables,33.92377344
