Category,Year,Emissions
2030 Target,2030,351.29
2050 Target,2050,0
Baseline,2023,465.23
Baseline,2024,459.11
Baseline,2025,452.15
Baseline,2026,445.46
Baseline,2027,430.56
Baseline,2028,417.92
Baseline,2029,401.02
Baseline,2030,386.04
Baseline,2031,379.46
Baseline,2032,359.16
Baseline,2033,338.62
Baseline,2034,327.81
Baseline,2035,312.7
Emissions Budget Trajectory,2020,538.04
Emissions Budget Trajectory,2021,519.37
Emissions Budget Trajectory,2022,500.69
Emissions Budget Trajectory,2023,482.01
Emissions Budget Trajectory,2024,463.34
Emissions Budget Trajectory,2025,444.66
Emissions Budget Trajectory,2026,425.99
Emissions Budget Trajectory,2027,407.31
Emissions Budget Trajectory,2028,388.64
Emissions Budget Trajectory,2029,369.96
Emissions Budget Trajectory,2030,351.29
Historical Emissions,2000,566.36
Historical Emissions,2001,586.64
Historical Emissions,2002,582.52
Historical Emissions,2003,591.49
Historical Emissions,2004,584.85
Historical Emissions,2005,616.29
Historical Emissions,2006,626.79
Historical Emissions,2007,641.52
Historical Emissions,2008,630.25
Historical Emissions,2009,630.91
Historical Emissions,2010,613.33
Historical Emissions,2011,594.03
Historical Emissions,2012,579.08
Historical Emissions,2013,561.1
Historical Emissions,2014,555.82
Historical Emissions,2015,540.91
Historical Emissions,2016,512.48
Historical Emissions,2017,509.81
Historical Emissions,2018,514.23
Historical Emissions,2019,505.86
Historical Emissions,2020,494.22
Historical Emissions,2021,464.77
Historical Emissions,2022,461.65
Historical Emissions,2023,465.23
With Additional Measures,2023,465.23
With Additional Measures,2024,459.11
With Additional Measures,2025,452.07
With Additional Measures,2026,444.81
With Additional Measures,2027,428.65
With Additional Measures,2028,408.34
With Additional Measures,2029,379.4
With Additional Measures,2030,357.52
With Additional Measures,2031,353.71
With Additional Measures,2032,337.44
With Additional Measures,2033,320.25
With Additional Measures,2034,308.43
With Additional Measures,2035,292.27
