Fuel_Type,Country,Code,Year,Share_Percent
Coal,Algeria,DZA,2000,1.8805242
Coal,Algeria,DZA,2001,2.0954082
Coal,Algeria,DZA,2002,2.6550817
Coal,Algeria,DZA,2003,2.0918128
Coal,Algeria,DZA,2004,2.4039516
Coal,Algeria,DZA,2005,1.8860927
Coal,Algeria,DZA,2006,2.7049358
Coal,Algeria,DZA,2007,2.2029614
Coal,Algeria,DZA,2008,2.078566
Coal,Algeria,DZA,2009,1.259232
Coal,Algeria,DZA,2010,0.8212624
Coal,Algeria,DZA,2011,0.6885534
Coal,Algeria,DZA,2012,0.66892815
Coal,Algeria,DZA,2013,0.342201
Coal,Algeria,DZA,2014,0.35548544
Coal,Algeria,DZA,2015,0.25048494
Coal,Algeria,DZA,2016,0.09236205
Coal,Algeria,DZA,2017,0.33931997
Coal,Algeria,DZA,2018,0.86840326
Coal,Algeria,DZA,2019,0.6917546
Coal,Algeria,DZA,2020,0.23478699
Coal,Algeria,DZA,2021,0.43881997
Coal,Algeria,DZA,2022,0.2962185
Coal,Algeria,DZA,2023,0.27418104
Coal,Argentina,ARG,2000,1.0751137
Coal,Argentina,ARG,2001,0.9020709
Coal,Argentina,ARG,2002,0.70076126
Coal,Argentina,ARG,2003,0.79740846
Coal,Argentina,ARG,2004,1.2781414
Coal,Argentina,ARG,2005,1.3866594
Coal,Argentina,ARG,2006,1.1948599
Coal,Argentina,ARG,2007,1.6589195
Coal,Argentina,ARG,2008,1.9968656
Coal,Argentina,ARG,2009,1.1285414
Coal,Argentina,ARG,2010,1.5240439
Coal,Argentina,ARG,2011,1.6080508
Coal,Argentina,ARG,2012,1.448457
Coal,Argentina,ARG,2013,1.5222468
Coal,Argentina,ARG,2014,1.6218394
Coal,Argentina,ARG,2015,1.5862668
Coal,Argentina,ARG,2016,1.2281685
Coal,Argentina,ARG,2017,1.2633977
Coal,Argentina,ARG,2018,1.3927169
Coal,Argentina,ARG,2019,0.87603277
Coal,Argentina,ARG,2020,1.1514137
Coal,Argentina,ARG,2021,1.4661396
Coal,Argentina,ARG,2022,1.4466538
Coal,Argentina,ARG,2023,1.2546072
Coal,Australia,AUS,2000,45.329063
Coal,Australia,AUS,2001,44.526226
Coal,Australia,AUS,2002,44.63382
Coal,Australia,AUS,2003,45.266983
Coal,Australia,AUS,2004,45.70642
Coal,Australia,AUS,2005,45.252754
Coal,Australia,AUS,2006,44.566353
Coal,Australia,AUS,2007,43.14279
Coal,Australia,AUS,2008,44.216965
Coal,Australia,AUS,2009,43.381382
Coal,Australia,AUS,2010,40.255753
Coal,Australia,AUS,2011,37.98674
Coal,Australia,AUS,2012,36.095543
Coal,Australia,AUS,2013,33.82917
Coal,Australia,AUS,2014,33.316456
Coal,Australia,AUS,2015,33.7489
Coal,Australia,AUS,2016,33.617268
Coal,Australia,AUS,2017,32.56188
Coal,Australia,AUS,2018,31.316078
Coal,Australia,AUS,2019,28.95457
Coal,Australia,AUS,2020,29.528294
Coal,Australia,AUS,2021,28.472359
Coal,Australia,AUS,2022,25.827915
Coal,Australia,AUS,2023,25.053648
Coal,Austria,AUT,2000,10.747273
Coal,Austria,AUT,2001,10.791859
Coal,Austria,AUT,2002,10.957873
Coal,Austria,AUT,2003,11.662318
Coal,Austria,AUT,2004,11.025087
Coal,Austria,AUT,2005,10.83355
Coal,Austria,AUT,2006,10.960012
Coal,Austria,AUT,2007,10.723308
Coal,Austria,AUT,2008,10.48732
Coal,Austria,AUT,2009,8.165697
Coal,Austria,AUT,2010,9.332911
Coal,Austria,AUT,2011,10.208199
Coal,Austria,AUT,2012,9.078376
Coal,Austria,AUT,2013,9.281068
Coal,Austria,AUT,2014,8.86866
Coal,Austria,AUT,2015,9.586441
Coal,Austria,AUT,2016,8.6531515
Coal,Austria,AUT,2017,8.7565365
Coal,Austria,AUT,2018,7.9051895
Coal,Austria,AUT,2019,7.931734
Coal,Austria,AUT,2020,7.2553506
Coal,Austria,AUT,2021,7.4284153
Coal,Austria,AUT,2022,7.5409403
Coal,Austria,AUT,2023,6.948082
Coal,Azerbaijan,AZE,2000,0
Coal,Azerbaijan,AZE,2001,0.027423322
Coal,Azerbaijan,AZE,2002,0.018517837
Coal,Azerbaijan,AZE,2003,0.025647776
Coal,Azerbaijan,AZE,2004,0.006952407
Coal,Azerbaijan,AZE,2005,0.022446172
Coal,Azerbaijan,AZE,2006,0.022821775
Coal,Azerbaijan,AZE,2007,0.03864993
Coal,Azerbaijan,AZE,2008,0.029989602
Coal,Azerbaijan,AZE,2009,0.037792955
Coal,Azerbaijan,AZE,2010,0.037696127
Coal,Azerbaijan,AZE,2011,0.02899013
Coal,Azerbaijan,AZE,2012,0.028667822
Coal,Azerbaijan,AZE,2013,0.024911636
Coal,Azerbaijan,AZE,2014,0.015157172
Coal,Azerbaijan,AZE,2015,0.020126935
Coal,Azerbaijan,AZE,2016,0.00812806
Coal,Azerbaijan,AZE,2017,0.006904765
Coal,Azerbaijan,AZE,2018,0.00479344
Coal,Azerbaijan,AZE,2019,0.004139232
Coal,Azerbaijan,AZE,2020,0.002493456
Coal,Azerbaijan,AZE,2021,0.000787426
Coal,Azerbaijan,AZE,2022,0.000369866
Coal,Azerbaijan,AZE,2023,0.000341357
Coal,Bangladesh,BGD,2000,2.8184035
Coal,Bangladesh,BGD,2001,2.6152527
Coal,Bangladesh,BGD,2002,2.7234018
Coal,Bangladesh,BGD,2003,2.4637587
Coal,Bangladesh,BGD,2004,2.3202386
Coal,Bangladesh,BGD,2005,4.3906236
Coal,Bangladesh,BGD,2006,6.164984
Coal,Bangladesh,BGD,2007,4.8925123
Coal,Bangladesh,BGD,2008,4.891074
Coal,Bangladesh,BGD,2009,5.5512285
Coal,Bangladesh,BGD,2010,3.4563622
Coal,Bangladesh,BGD,2011,4.75675
Coal,Bangladesh,BGD,2012,3.6131613
Coal,Bangladesh,BGD,2013,4.8164077
Coal,Bangladesh,BGD,2014,2.936705
Coal,Bangladesh,BGD,2015,7.9562554
Coal,Bangladesh,BGD,2016,5.9579773
Coal,Bangladesh,BGD,2017,6.235038
Coal,Bangladesh,BGD,2018,6.640808
Coal,Bangladesh,BGD,2019,9.962419
Coal,Bangladesh,BGD,2020,11.447144
Coal,Bangladesh,BGD,2021,8.593146
Coal,Bangladesh,BGD,2022,10.694851
Coal,Bangladesh,BGD,2023,15.396711
Coal,Belarus,BLR,2000,4.5379486
Coal,Belarus,BLR,2001,3.3514075
Coal,Belarus,BLR,2002,3.0558197
Coal,Belarus,BLR,2003,2.897945
Coal,Belarus,BLR,2004,2.5351193
Coal,Belarus,BLR,2005,2.8087595
Coal,Belarus,BLR,2006,2.364915
Coal,Belarus,BLR,2007,2.7415986
Coal,Belarus,BLR,2008,2.5225372
Coal,Belarus,BLR,2009,2.5403137
Coal,Belarus,BLR,2010,2.45177
Coal,Belarus,BLR,2011,2.9993637
Coal,Belarus,BLR,2012,2.8285134
Coal,Belarus,BLR,2013,3.3188686
Coal,Belarus,BLR,2014,3.2850728
Coal,Belarus,BLR,2015,3.2266173
Coal,Belarus,BLR,2016,3.4706988
Coal,Belarus,BLR,2017,3.524497
Coal,Belarus,BLR,2018,4.7812376
Coal,Belarus,BLR,2019,5.0091906
Coal,Belarus,BLR,2020,3.397138
Coal,Belarus,BLR,2021,3.2338586
Coal,Belarus,BLR,2022,3.6961782
Coal,Belarus,BLR,2023,3.8026295
Coal,Belgium,BEL,2000,11.930292
Coal,Belgium,BEL,2001,11.464129
Coal,Belgium,BEL,2002,9.873066
Coal,Belgium,BEL,2003,9.196522
Coal,Belgium,BEL,2004,8.521136
Coal,Belgium,BEL,2005,7.9175158
Coal,Belgium,BEL,2006,7.7912874
Coal,Belgium,BEL,2007,7.0712404
Coal,Belgium,BEL,2008,6.872982
Coal,Belgium,BEL,2009,4.797816
Coal,Belgium,BEL,2010,5.7014885
Coal,Belgium,BEL,2011,5.7524395
Coal,Belgium,BEL,2012,5.644811
Coal,Belgium,BEL,2013,5.8278723
Coal,Belgium,BEL,2014,6.095328
Coal,Belgium,BEL,2015,5.8925796
Coal,Belgium,BEL,2016,5.189455
Coal,Belgium,BEL,2017,5.037312
Coal,Belgium,BEL,2018,5.022664
Coal,Belgium,BEL,2019,4.8699965
Coal,Belgium,BEL,2020,4.206403
Coal,Belgium,BEL,2021,4.1837893
Coal,Belgium,BEL,2022,4.6367
Coal,Belgium,BEL,2023,4.266643
Coal,Brazil,BRA,2000,6.4147906
Coal,Brazil,BRA,2001,6.475143
Coal,Brazil,BRA,2002,6.1277623
Coal,Brazil,BRA,2003,6.239765
Coal,Brazil,BRA,2004,6.2386847
Coal,Brazil,BRA,2005,5.8641844
Coal,Brazil,BRA,2006,5.6271906
Coal,Brazil,BRA,2007,5.602501
Coal,Brazil,BRA,2008,5.4480996
Coal,Brazil,BRA,2009,4.4270425
Coal,Brazil,BRA,2010,5.280869
Coal,Brazil,BRA,2011,5.451592
Coal,Brazil,BRA,2012,5.2412415
Coal,Brazil,BRA,2013,5.5166993
Coal,Brazil,BRA,2014,5.7167716
Coal,Brazil,BRA,2015,5.8283625
Coal,Brazil,BRA,2016,5.394543
Coal,Brazil,BRA,2017,5.6389
Coal,Brazil,BRA,2018,5.494253
Coal,Brazil,BRA,2019,5.0810895
Coal,Brazil,BRA,2020,4.8059845
Coal,Brazil,BRA,2021,5.542616
Coal,Brazil,BRA,2022,4.358334
Coal,Brazil,BRA,2023,4.1283216
Coal,Bulgaria,BGR,2000,33.671276
Coal,Bulgaria,BGR,2001,37.150715
Coal,Bulgaria,BGR,2002,35.269184
Coal,Bulgaria,BGR,2003,38.170563
Coal,Bulgaria,BGR,2004,37.719456
Coal,Bulgaria,BGR,2005,34.102016
Coal,Bulgaria,BGR,2006,33.96321
